epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1324.51,1.12486,0.63393,1.12212,0.67761,0.71352,0.71755,0.36186,1.71194,0.96184,1.60629,0.000990365,0.000990365,0.000990365
43,1358.33,1.09609,0.61615,1.10974,0.72114,0.75237,0.73319,0.40419,1.65178,0.90337,1.57991,0.000973861,0.000973861,0.000973861
44,1390.71,1.09584,0.61876,1.10225,0.72727,0.7417,0.76943,0.42912,1.58284,0.9062,1.51964,0.000957358,0.000957358,0.000957358
45,1424.05,1.07872,0.61185,1.10763,0.71501,0.73232,0.74193,0.38229,1.63685,0.93213,1.56595,0.000940855,0.000940855,0.000940855
46,1456.16,1.09663,0.62152,1.11255,0.74328,0.73411,0.76,0.39464,1.65093,0.92358,1.59793,0.000924352,0.000924352,0.000924352
47,1487.52,1.06041,0.59282,1.09045,0.71037,0.76482,0.7477,0.41367,1.53767,0.886,1.49349,0.000907848,0.000907848,0.000907848
48,1520.15,1.07194,0.61176,1.09275,0.7519,0.70242,0.71815,0.38232,1.63936,0.95459,1.54691,0.000891345,0.000891345,0.000891345
49,1552.41,1.05759,0.6099,1.09472,0.72384,0.72381,0.70979,0.41386,1.53051,0.93309,1.48616,0.000874842,0.000874842,0.000874842
50,1583.61,1.0343,0.58714,1.08111,0.66481,0.73822,0.70417,0.40002,1.51902,0.94305,1.46808,0.000858338,0.000858338,0.000858338
51,1614.56,1.0162,0.57519,1.06928,0.77115,0.69837,0.75422,0.4289,1.52522,0.90619,1.45763,0.000841835,0.000841835,0.000841835
52,1645.46,1.02064,0.57683,1.07486,0.72966,0.6922,0.7286,0.39154,1.6018,0.95998,1.54553,0.000825332,0.000825332,0.000825332
53,1676.57,1.02354,0.57487,1.06911,0.72596,0.73176,0.73542,0.38805,1.60688,0.95257,1.56823,0.000808828,0.000808828,0.000808828
54,1708.1,1.01844,0.57397,1.07452,0.74088,0.71456,0.73739,0.42698,1.56372,0.91234,1.50795,0.000792325,0.000792325,0.000792325
55,1738.72,0.98283,0.55707,1.05841,0.77116,0.6994,0.73959,0.40409,1.54472,0.91879,1.51711,0.000775822,0.000775822,0.000775822
56,1769.37,0.98159,0.55325,1.056,0.67886,0.77065,0.73717,0.38419,1.57878,0.92203,1.52005,0.000759318,0.000759318,0.000759318
57,1800.09,0.99237,0.55924,1.05275,0.7121,0.73736,0.70749,0.39519,1.54903,0.91094,1.51714,0.000742815,0.000742815,0.000742815
58,1830.86,0.97502,0.55575,1.06097,0.66999,0.73008,0.73045,0.40837,1.61092,0.94927,1.56884,0.000726312,0.000726312,0.000726312
59,1861.63,0.97267,0.54124,1.04119,0.75927,0.72566,0.74791,0.39784,1.63296,0.87813,1.61844,0.000709809,0.000709809,0.000709809
60,1893.88,0.95743,0.5417,1.03982,0.79119,0.72751,0.75689,0.42558,1.56146,0.93196,1.5681,0.000693305,0.000693305,0.000693305
61,1924.58,0.93517,0.53183,1.04431,0.71336,0.70398,0.70344,0.38677,1.54944,0.95312,1.53745,0.000676802,0.000676802,0.000676802
62,1955.25,0.94255,0.52283,1.03953,0.70663,0.75196,0.7461,0.41417,1.54928,0.89542,1.55874,0.000660299,0.000660299,0.000660299
63,1986.04,0.91607,0.52521,1.02501,0.73054,0.72306,0.75194,0.42644,1.59314,0.89434,1.58342,0.000643795,0.000643795,0.000643795
64,2018.79,0.91721,0.50543,1.02674,0.75998,0.74859,0.76065,0.41362,1.61178,0.85878,1.58349,0.000627292,0.000627292,0.000627292
65,2050.65,0.90486,0.5019,1.02256,0.75022,0.73341,0.7423,0.4173,1.59388,0.9148,1.53852,0.000610789,0.000610789,0.000610789
66,2081.83,0.88191,0.48269,1.01476,0.70181,0.77597,0.73107,0.41643,1.55964,0.93283,1.55658,0.000594286,0.000594286,0.000594286
67,2112.36,0.88661,0.49596,1.0196,0.80224,0.64558,0.7244,0.39677,1.65722,0.93602,1.6549,0.000577782,0.000577782,0.000577782
68,2143.77,0.91671,0.49615,1.01628,0.76379,0.69697,0.7375,0.40873,1.54981,0.90473,1.51684,0.000561279,0.000561279,0.000561279
69,2174.47,0.87916,0.49032,1.01741,0.73077,0.74248,0.71211,0.40298,1.51889,0.94633,1.51046,0.000544776,0.000544776,0.000544776
70,2206.35,0.87729,0.47538,1.01003,0.74681,0.70253,0.74047,0.41018,1.57439,0.90197,1.56251,0.000528272,0.000528272,0.000528272
71,2237.55,0.86408,0.4681,0.9994,0.7664,0.68149,0.72222,0.39749,1.62301,0.95786,1.6003,0.000511769,0.000511769,0.000511769
72,2268.48,0.85592,0.47434,1.00365,0.67078,0.7356,0.71148,0.39541,1.54144,0.97188,1.53045,0.000495266,0.000495266,0.000495266
73,2299.56,0.853,0.47202,0.9998,0.77436,0.67116,0.69114,0.38961,1.54879,1.01178,1.50607,0.000478762,0.000478762,0.000478762
74,2330.99,0.87722,0.48312,1.00354,0.76878,0.70523,0.72491,0.40275,1.59112,0.96701,1.5727,0.000462259,0.000462259,0.000462259
75,2363.3,0.85311,0.46952,1.00851,0.77374,0.71725,0.73263,0.4086,1.56871,0.90529,1.53705,0.000445756,0.000445756,0.000445756
76,2394.7,0.8418,0.45633,0.99843,0.70611,0.71656,0.73169,0.39613,1.59731,0.97764,1.57862,0.000429253,0.000429253,0.000429253
77,2426.5,0.83583,0.45813,0.98884,0.76926,0.69388,0.71398,0.40397,1.53352,0.94823,1.525,0.000412749,0.000412749,0.000412749
78,2458.04,0.82612,0.44977,0.9839,0.79009,0.71369,0.73808,0.42539,1.52966,0.90758,1.55026,0.000396246,0.000396246,0.000396246
79,2490.04,0.81898,0.44611,0.97709,0.76162,0.7069,0.7224,0.401,1.56561,0.94235,1.58064,0.000379743,0.000379743,0.000379743
80,2521.89,0.80465,0.44305,0.97637,0.70216,0.75954,0.72749,0.40702,1.54384,0.89694,1.57135,0.000363239,0.000363239,0.000363239
81,2553.82,0.80875,0.44666,0.97411,0.70737,0.69707,0.70615,0.39496,1.56334,0.97029,1.56197,0.000346736,0.000346736,0.000346736
82,2585.01,0.81329,0.45473,0.98056,0.73952,0.7051,0.72947,0.40912,1.52815,0.93199,1.53108,0.000330233,0.000330233,0.000330233
83,2616.31,0.79156,0.43511,0.97538,0.80643,0.67874,0.73258,0.4127,1.5271,0.92439,1.56035,0.000313729,0.000313729,0.000313729
84,2647.71,0.80782,0.43935,0.96689,0.74191,0.74231,0.72594,0.41475,1.52301,0.92866,1.54102,0.000297226,0.000297226,0.000297226
85,2679.21,0.78398,0.4245,0.97479,0.76249,0.71212,0.73873,0.42606,1.54499,0.92139,1.55033,0.000280723,0.000280723,0.000280723
86,2709.95,0.75725,0.40821,0.964,0.76425,0.6922,0.7183,0.40397,1.55008,0.95594,1.56837,0.00026422,0.00026422,0.00026422
